crashedAt,totalBankUsd,usersCount,itemsCount
1.01,217.93,75,85
1.80,323.69,105,122
5.33,315.70,79,94
1.11,297.76,80,89
1.03,220.58,87,99
1.24,433.25,129,169
2.22,291.85,90,107
1.07,323.79,80,97
8.51,223.67,81,94
1.64,304.46,82,102
1.84,158.60,54,67
3.43,218.28,71,93
1.04,163.24,48,53
2.71,220.19,72,82
1.62,168.60,59,71
4.30,235.24,65,77
1.75,117.56,51,59
2.35,218.65,62,73
1.09,155.98,47,56
2.26,241.33,73,82
4.37,190.69,69,84
5.01,218.50,63,73
1.86,167.59,45,57
2.93,187.62,64,77
1.54,153.77,52,56
1.09,163.09,45,55
1.59,153.21,64,71
1.20,253.78,78,101
1.46,188.31,73,84
1.03,250.56,69,76
3.45,242.42,81,92
2.87,228.18,76,87
1.69,109.78,51,53
1.76,171.50,52,58
5.05,128.86,48,55
1.01,185.65,49,57
1.60,139.05,57,62
3.01,204.01,64,74
1.29,237.12,55,62
1.04,237.12,65,74
1.28,161.60,72,76
99.80,225.63,76,87
1.78,83.74,49,53
1.35,178.45,63,71
1.05,141.89,62,75
2.25,230.41,73,78
2.33,130.96,67,74
1.32,180.42,65,69
1.20,187.51,67,79
1.01,217.33,67,75
1.25,251.40,82,87
6.78,201.83,82,91
1.28,172.57,65,73
1.03,227.70,66,72
4.70,157.32,65,69
1.58,215.49,69,77
1.23,182.16,61,72
2.61,201.65,60,64
1.01,130.89,53,62
1.28,264.10,80,86
1.07,200.97,74,84
5.92,294.85,87,98
1.39,187.48,70,78
1.92,193.00,67,68
1.45,217.23,60,63
1.01,210.75,54,59
1.91,236.62,71,81
2.86,263.56,77,88
2.85,256.87,69,82
1.00,153.95,54,61
1.34,215.20,67,77
8.41,166.63,73,77
1.08,151.00,53,59
2.63,184.79,72,79
1.24,200.43,58,69
2.44,183.27,60,70
1.55,215.74,53,57
2.71,182.68,57,59
1.03,205.10,52,68
9.62,190.39,75,82
1.13,139.84,53,63
1.49,249.80,89,101
1.56,112.96,51,52
2.97,199.83,64,73
2.44,117.89,50,58
4.92,158.54,51,58
1.09,131.09,37,41
2.51,206.49,68,82
42.47,175.63,60,71
1.60,130.98,52,58
1.42,164.12,55,65
1.19,151.51,63,75
2.04,186.46,76,96
1.87,172.14,68,72
1.21,230.26,76,88
2.97,206.29,77,96
3.20,158.50,53,58
1.03,148.85,64,72
1.02,224.61,74,84
1.38,315.10,102,113
3.31,231.62,87,92
1.94,221.92,65,76
2.09,246.69,68,78
1.39,219.05,59,70
1.01,171.25,50,60
3.66,225.97,77,88
1.92,214.64,68,78
1.54,197.36,62,71
2.61,157.90,62,70
1.01,211.44,65,72
1.41,232.58,75,82
60.48,225.18,79,84
1.76,212.72,52,60
3.09,169.86,62,68
1.05,256.00,55,62
1.87,296.42,78,89
1.46,272.08,74,82
2.35,189.38,66,75
1.04,263.21,67,81
2.87,272.12,76,82
9.83,255.48,69,78
7.70,208.79,61,78
1.24,192.74,53,62
1.03,225.51,55,62
1.29,264.22,77,93
1.89,243.08,84,95
1.09,285.80,83,97
4.58,297.77,96,111
2.07,236.43,76,85
1.21,201.86,70,79
1.57,276.74,78,86
1.01,220.79,67,71
1.87,353.68,86,102
2.46,308.23,93,102
2.59,271.51,74,86
1.28,246.36,69,77
1.08,248.06,69,77
3.24,247.78,84,94
1.04,267.34,65,77
3.38,353.22,110,123
1.61,306.67,72,74
1.79,221.92,79,85
2.97,259.76,74,77
9.35,259.28,64,70
1.04,260.12,56,71
1.49,304.24,83,104
2.39,277.35,70,80
1.81,254.09,74,80
1.78,258.76,77,96
3.11,190.80,65,71
1.03,251.32,62,71
2.01,250.59,78,91
84.07,357.32,67,73
2.71,214.73,68,74
1.03,258.87,54,57
1.00,296.48,84,95
1.26,506.29,115,139
1.72,286.70,90,108
1.87,306.71,90,105
2.94,284.63,83,85
4.87,219.04,61,68
1.07,154.02,57,60
1.48,256.50,70,83
2.11,255.42,101,111
1.76,225.04,83,93
6.93,238.11,80,87
1.01,179.12,55,58
3.02,272.27,86,97
2.79,316.24,90,100
2.10,196.09,74,80
1.04,230.57,65,73
1.91,245.22,90,101
1.37,283.48,75,83
3.03,168.22,75,79
2.01,227.00,67,75
1.55,150.76,56,61
1.07,198.07,55,64
3.95,268.00,87,95
1.08,241.16,65,73
65.74,283.29,95,102
1.62,168.63,69,77
1.88,252.21,64,69
2.10,170.23,66,81
2.49,179.47,60,68
1.08,135.88,50,53
3.05,234.60,83,89
4.75,203.70,63,71
1.08,303.85,107,130
9.01,309.42,107,129
1.83,316.51,106,131
1.42,231.38,90,122
1.20,283.24,109,135
2.53,240.34,110,135
1.05,282.53,98,123
2.54,405.74,136,166
1.39,293.78,106,124
1.34,306.84,110,140
1.64,333.73,124,149
7.24,270.92,92,107
1.40,253.33,100,119
1.01,305.42,105,123
1.05,416.54,133,167
1.21,522.37,154,188
2.01,411.95,134,152
2.10,298.63,124,148
1.03,316.08,114,144
7.37,342.58,115,129
1.56,293.46,111,135
1.91,232.46,103,121
2.71,224.56,101,117
3.94,241.43,93,120
1.71,262.41,90,115
1.05,186.00,85,104
